"시군구명","도로구간명","구간시점명","구간종점명","수종명","수목흉고직경","가로내녹지유형명","도로변녹지유형명","기후대구분명","입지명","지역X좌표","지역Y좌표","좌표계코드","시군구별가로수번호"
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,28,기타,기타,기타,기타,"331084.3631","347612.3048",EPSG:5186,132297
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,24,기타,기타,기타,기타,"331075.4652","347607.4226",EPSG:5186,132298
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,28,기타,기타,기타,기타,"331066.2657","347602.3642",EPSG:5186,132299
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,30,기타,기타,기타,기타,"331020.7341","347576.3924",EPSG:5186,132301
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,38,기타,기타,기타,기타,"331013.4752","347571.7867",EPSG:5186,132302
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,30,기타,기타,기타,기타,"330935.931","347528.9226",EPSG:5186,132303
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,38,기타,기타,기타,기타,"330928.1485","347524.4923",EPSG:5186,132304
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,44,기타,기타,기타,기타,"330919.7255","347519.5686",EPSG:5186,132305
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,28,기타,기타,기타,기타,"330872.7561","347492.6606",EPSG:5186,132306
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,42,기타,기타,기타,기타,"330881.1771","347497.684",EPSG:5186,132307
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,44,기타,기타,기타,기타,"330895.6726","347506.023",EPSG:5186,132308
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,38,기타,기타,기타,기타,"330888.4054","347501.823",EPSG:5186,132309
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,42,기타,기타,기타,기타,"330904.2416","347511.1396",EPSG:5186,132310
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,42,기타,기타,기타,기타,"330911.957","347515.4286",EPSG:5186,132311
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,38,기타,기타,기타,기타,"330837.5282","347468.3628",EPSG:5186,132312
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,38,기타,기타,기타,기타,"330843.6032","347472.6485",EPSG:5186,132313
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,46,기타,기타,기타,기타,"330855.9419","347481.2733",EPSG:5186,132314
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330865.1157","347487.6428",EPSG:5186,132315
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,46,기타,기타,기타,기타,"330781.3238","347420.9286",EPSG:5186,132316
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,42,기타,기타,기타,기타,"330787.886","347427.3148",EPSG:5186,132317
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,38,기타,기타,기타,기타,"330808.995","347445.4222",EPSG:5186,132318
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,46,기타,기타,기타,기타,"330801.5476","347439.268",EPSG:5186,132319
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,44,기타,기타,기타,기타,"330794.4687","347433.1912",EPSG:5186,132320
대구광역시 달성군,논공로,논공로,현풍면 성하리 159-22,양버즘나무,40,기타,기타,기타,기타,"330822.1302","347456.6944",EPSG:5186,132321
